Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Additional_Pay,Avg_Pay,Avg_Pay_Num,Avg_Pay_Text,Max_Pay,Min_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City
"Mumbai, India",10000+ Employees,1997,Company - Public,IT Services,Unknown / Non-Applicable,LTI,LTI Data Scientist Salaries in Pune Area,"₹ 2,30,000 - ₹ 13,00,000",NA,NA,"₹8,00,000","The typical LTI Data Scientist salary is ₹8,00,000",NA,NA,3.6,69%,16%,15%,60%,15%,9%,Pune
"Troy, MI",10000+ Employees,1980,Subsidiary or Business Segment,IT Services,$1 to $2 billion (USD),Atos-Syntel,Atos-Syntel Data Scientist Salaries in Pune Area,"₹ 3,34,482 - ₹ 15,69,565",NA,NA,"₹4,13,867","The typical Atos-Syntel Data Scientist salary is ₹4,13,867",NA,NA,3.5,67%,14%,19%,36%,32%,12%,Pune
"London, United Kingdom",10000+ Employees,1690,Company - Public (BARC),Banks & Building Societies,$10+ billion (USD),Barclays,Barclays Data Scientist Salaries in Pune Area,"₹ 10,14,734 - ₹ 16,94,620","₹ 1,09,690",NA,"₹12,00,000","The typical Barclays Data Scientist salary is ₹12,00,000",NA,NA,4.1,62%,16%,22%,53%,17%,12%,Pune
"Zürich, Switzerland",10000+ Employees,1856,Company - Public,Investment Banking & Asset Management,$10+ billion (USD),Credit Suisse,Credit Suisse Data Scientist Salaries in Pune Area,"₹ 1,47,829 - ₹ 20,00,000","₹ 53,446",NA,"₹13,89,588","The typical Credit Suisse Data Scientist salary is ₹13,89,588",NA,NA,3.9,67%,13%,21%,50%,20%,11%,Pune
"Pune, India",1001 to 5000 Employees,null,Company - Private,Lending,$10+ billion (USD),Bajaj Finance,Bajaj Finance Data Scientist Salaries in Pune Area,"₹ 9,08,407 - ₹ 19,64,448",NA,NA,"₹9,34,725","The typical Bajaj Finance Data Scientist salary is ₹9,34,725",NA,NA,3.8,69%,15%,16%,42%,23%,19%,Pune
"Houston, TX",10000+ Employees,1926,Company - Public (SLB),Oil & Gas Services,$10+ billion (USD),Schlumberger,Schlumberger Data Scientist Salaries in Pune Area,"₹ 20,00,000 - ₹ 31,17,666","₹ 1,24,963",NA,"₹25,66,740","The typical Schlumberger Data Scientist salary is ₹25,66,740",NA,NA,3.7,73%,9%,17%,51%,26%,10%,Pune
"Frankfurt am Main, Germany",10000+ Employees,2000,Subsidiary or Business Segment,IT Services,$5 to $10 billion (USD),T-Systems,T-Systems Data Scientist Salaries in Pune Area,"₹ 11,23,436 - ₹ 14,36,293",NA,NA,"₹12,53,495","The typical T-Systems Data Scientist salary is ₹12,53,495",NA,NA,3.8,60%,22%,18%,40%,15%,13%,Pune
"Pune, India",10000+ Employees,1889,Company - Public (ML),Industrial Manufacturing,$10+ billion (USD),Michelin,Michelin Data Scientist Salaries in Pune Area,"₹ 9,50,000 - ₹ 15,08,961",NA,NA,"₹11,50,000","The typical Michelin Data Scientist salary is ₹11,50,000",NA,NA,4,71%,14%,15%,35%,25%,15%,Pune
"Irving, TX",10000+ Employees,2017,Company - Public (XELA),IT Services,$1 to $2 billion (USD),Exela Technologies,Exela Technologies Data Scientist Salaries in Pune Area,"₹ 4,17,832 - ₹ 50,76,442",NA,NA,"₹8,37,101","The typical Exela Technologies Data Scientist salary is ₹8,37,101",NA,NA,2.6,51%,32%,17%,59%,12%,11%,Pune
"Noida, India",10000+ Employees,1991,Company - Public (HCLT),Computer Hardware & Software,$5 to $10 billion (USD),HCL Technologies,HCL Technologies Data Scientist Monthly Pay in Pune Area,"₹ 48,673 - ₹ 71,234",NA,NA,"₹48,673-₹71,234","Data Scientist salaries at HCL Technologies can range from ₹48,673-₹71,234",NA,NA,3.7,62%,20%,18%,29%,22%,17%,Pune
"New York, NY",10000+ Employees,1812,Company - Public (C),Investment Banking & Asset Management,$10+ billion (USD),Citi,Citi Data Scientist Salaries in Pune Area,"₹ 13,47,066 - ₹ 17,42,819","₹ 86,000",NA,"₹13,47,066-₹17,42,819","Data Scientist salaries at Citi can range from ₹13,47,066-₹17,42,819",NA,NA,3.9,64%,13%,23%,49%,22%,10%,Pune
"Newbury, United Kingdom",10000+ Employees,1982,Company - Public (VODPF),"Cable, Internet & Telephone Providers",$10+ billion (USD),Vodafone,Vodafone Data Scientist Salaries in Pune Area,"₹ 8,33,225 - ₹ 17,79,985",NA,NA,"₹8,33,225-₹17,79,985","Data Scientist salaries at Vodafone can range from ₹8,33,225-₹17,79,985",NA,NA,4,65%,15%,20%,62%,10%,8%,Pune
"Noida, India",1001 to 5000 Employees,1990,Company - Public (BSOFT),Enterprise Software & Network Solutions,Unknown / Non-Applicable,Birlasoft,Birlasoft Data Scientist Salaries in Pune Area,"₹ 9,03,184 - ₹ 96,43,405",NA,NA,"₹9,03,184-₹96,43,405","Data Scientist salaries at Birlasoft can range from ₹9,03,184-₹96,43,405",NA,NA,3.5,62%,20%,18%,42%,17%,15%,Pune
"New York, NY",10000+ Employees,1968,Subsidiary or Business Segment,IT Services,$10+ billion (USD),Tata Consultancy Services (North America),Tata Consultancy Services (North America) Data Scientist Monthly Pay in Pune Area,"₹ 34,345 - ₹ 1,01,553",NA,NA,"₹34,345-₹1,01,553","Data Scientist salaries at Tata Consultancy Services (North America) can range from ₹34,345-₹1,01,553",NA,NA,3.7,64%,14%,22%,40%,33%,11%,Pune
"Moline, IL",10000+ Employees,1837,Company - Public (DE),Industrial Manufacturing,$10+ billion (USD),John Deere,John Deere Data Scientist Salaries in Pune Area,"₹ 4,83,676 - ₹ 24,67,641","₹ 2,11,827",NA,"₹4,83,676-₹24,67,641","Data Scientist salaries at John Deere can range from ₹4,83,676-₹24,67,641",NA,NA,4,77%,8%,15%,35%,35%,11%,Pune
"Dublin, Ireland",10000+ Employees,1911,Unknown,Electrical & Electronic Manufacturing,$10+ billion (USD),Eaton,Eaton Data Scientist Salaries in Pune Area,"₹ 9,86,136 - ₹ 15,14,928",NA,NA,"₹9,86,136-₹15,14,928","Data Scientist salaries at Eaton can range from ₹9,86,136-₹15,14,928",NA,NA,3.9,66%,16%,18%,44%,30%,8%,Pune
"Pune, India",501 to 1000 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,GS Lab,GS Lab Data Scientist Salaries in Pune Area,"₹ 5,25,272 - ₹ 11,08,591",NA,NA,"₹5,25,272-₹11,08,591","Data Scientist salaries at GS Lab can range from ₹5,25,272-₹11,08,591",NA,NA,4.1,60%,25%,15%,32%,26%,15%,Pune
"Pune, India",10000+ Employees,null,Subsidiary or Business Segment,Lending,Unknown / Non-Applicable,Bajaj Finserv Lending,Bajaj Finserv Lending Data Scientist Monthly Pay in Pune Area,"₹ 14,899 - ₹ 43,894",NA,NA,"₹14,899-₹43,894","Data Scientist salaries at Bajaj Finserv Lending can range from ₹14,899-₹43,894",NA,NA,3.2,56%,38%,6%,33%,30%,19%,Pune
"Pune, India",501 to 1000 Employees,1997,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Saama Technologies,Saama Technologies Data Scientist Salaries in Pune Area,"₹ 8,78,664 - ₹ 9,59,210",NA,NA,"₹8,78,664-₹9,59,210","Data Scientist salaries at Saama Technologies can range from ₹8,78,664-₹9,59,210",NA,NA,3.8,53%,35%,12%,31%,18%,15%,Pune
"Pune, India",201 to 500 Employees,2013,Company - Private,IT Services,$25 to $50 million (USD),Datametica,Datametica Data Scientist Salaries in Pune Area,"₹ 8,41,910 - ₹ 10,88,071",NA,NA,"₹8,41,910-₹10,88,071","Data Scientist salaries at Datametica can range from ₹8,41,910-₹10,88,071",NA,NA,3.6,79%,17%,3%,38%,26%,14%,Pune
"Columbia, MD",1001 to 5000 Employees,1971,Company - Private,Advertising & Marketing,$500 million to $1 billion (USD),Merkle,Merkle Data Scientist Salaries in Pune Area,"₹ 10,74,687 - ₹ 13,17,178","₹ 1,05,272",NA,"₹10,74,687-₹13,17,178","Data Scientist salaries at Merkle can range from ₹10,74,687-₹13,17,178",NA,NA,3.8,58%,22%,20%,65%,10%,9%,Pune
"Milpitas, CA",201 to 500 Employees,2010,Company - Private,IT Services,Unknown / Non-Applicable,Abzooba,Abzooba Data Scientist Salaries in Pune Area,"₹ 8,19,364 - ₹ 29,51,381",NA,NA,"₹8,19,364-₹29,51,381","Data Scientist salaries at Abzooba can range from ₹8,19,364-₹29,51,381",NA,NA,4.4,53%,29%,18%,60%,20%,13%,Pune
"San Mateo, CA",1001 to 5000 Employees,2006,Company - Public (COUP),Enterprise Software & Network Solutions,Unknown / Non-Applicable,Coupa Software Inc,Coupa Software Inc Data Scientist Salaries in Pune Area,"₹ 9,23,212 - ₹ 15,56,280","₹ 1,50,679",NA,"₹9,23,212-₹15,56,280","Data Scientist salaries at Coupa Software Inc can range from ₹9,23,212-₹15,56,280",NA,NA,4.3,38%,49%,13%,55%,18%,14%,Pune
"Singapore, Singapore",51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Knorex,Knorex Data Scientist Monthly Pay in Pune Area,"₹ 40,379 - ₹ 65,603",NA,NA,"₹40,379-₹65,603","Data Scientist salaries at Knorex can range from ₹40,379-₹65,603",NA,NA,3.3,36%,21%,43%,83%,8%,8%,Pune
"Pune, India",51 to 200 Employees,2014,Company - Private,IT Services,Unknown / Non-Applicable,ThinkBridge,ThinkBridge Data Scientist Monthly Pay in Pune Area,"₹ 50,006 - ₹ 73,091",NA,NA,"₹50,006-₹73,091","Data Scientist salaries at ThinkBridge can range from ₹50,006-₹73,091",NA,NA,3.7,88%,13%,60%,20%,20%,,Pune
"Pune, India",51 to 200 Employees,2012,Company - Private,IT Services,Unknown / Non-Applicable,MindBowser Info Solutions,MindBowser Info Solutions Data Scientist Salaries in Pune Area,"₹ 2,67,733 - ₹ 2,86,473",NA,NA,"₹2,67,733-₹2,86,473","Data Scientist salaries at MindBowser Info Solutions can range from ₹2,67,733-₹2,86,473",NA,NA,4.3,38%,50%,13%,40%,40%,20%,Pune
"Pune, India",51 to 200 Employees,2016,Company - Private,IT Services,Unknown / Non-Applicable,Coditation Systems,Coditation Systems Data Scientist Monthly Pay in Pune Area,"₹ 41,120 - ₹ 50,751",NA,NA,"₹41,120-₹50,751","Data Scientist salaries at Coditation Systems can range from ₹41,120-₹50,751",NA,NA,3.8,50%,38%,13%,38%,25%,25%,Pune
"Grenoble, France",1 to 50 Employees,null,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,HiLabs,HiLabs Data Scientist Salaries in Pune Area,"₹ 16,54,778 - ₹ 19,47,982","₹ 4,03,736",NA,"₹16,54,778-₹19,47,982","Data Scientist salaries at HiLabs can range from ₹16,54,778-₹19,47,982",NA,NA,4.1,100%,,,,,,Pune
"Pune, India",1 to 50 Employees,2019,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,Jash Data Sciences,Jash Data Sciences Data Scientist Salaries in Pune Area,"₹ 5,76,761 - ₹ 7,38,141",NA,NA,"₹5,76,761-₹7,38,141","Data Scientist salaries at Jash Data Sciences can range from ₹5,76,761-₹7,38,141",NA,NA,4,NA,NA,NA,NA,NA,NA,Pune
"Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),Internet,$10+ billion (USD),Amazon,Amazon Data Scientist Salaries in Pune Area,"₹ 1,09,261 - ₹ 1,17,001",NA,NA,"₹1,09,261-₹1,17,001","Data Scientist salaries at Amazon can range from ₹1,09,261-₹1,17,001",NA,NA,4.3,59%,19%,23%,54%,15%,12%,Pune
"Seattle, WA",10000+ Employees,1994,Company - Public (AMZN),Internet,$10+ billion (USD),Amazon,Amazon Data Scientist Salaries in Pune Area,"₹ 1,07,880 - ₹ 1,16,735",NA,NA,"₹1,07,880-₹1,16,735","Data Scientist salaries at Amazon can range from ₹1,07,880-₹1,16,735",NA,NA,4.3,59%,19%,23%,54%,15%,12%,Pune
"Amstelveen, Netherlands",10000+ Employees,1987,Company - Private,Consulting,$1 to $2 billion (USD),KPMG,KPMG Data Scientist Salaries in Pune Area,"₹ 6,07,999 - ₹ 6,47,891",NA,NA,"₹6,07,999-₹6,47,891","Data Scientist salaries at KPMG can range from ₹6,07,999-₹6,47,891",NA,NA,3.8,71%,10%,19%,48%,28%,10%,Pune
"Fremont, CA",10000+ Employees,2004,Company - Public,Staffing & Outsourcing,$2 to $5 billion (USD),Concentrix,Concentrix Data Scientist Monthly Pay in Pune Area,"₹ 2,72,255 - ₹ 2,91,709",NA,NA,"₹2,72,255-₹2,91,709","Data Scientist salaries at Concentrix can range from ₹2,72,255-₹2,91,709",NA,NA,3.9,64%,18%,17%,52%,14%,13%,Pune
"Charlotte, NC",10000+ Employees,1885,Company - Public (HON),Computer Hardware & Software,$10+ billion (USD),Honeywell,Honeywell Data Scientist Salaries in Pune Area,"₹ 13,34,746 - ₹ 14,53,732",NA,NA,"₹13,34,746-₹14,53,732","Data Scientist salaries at Honeywell can range from ₹13,34,746-₹14,53,732",NA,NA,3.7,64%,16%,20%,39%,21%,13%,Pune
"Mountain View, CA",10000+ Employees,1998,Company - Public (GOOG),Internet,$10+ billion (USD),Google,Google Data Scientist Salaries in Pune Area,"₹ 71,52,416 - ₹ 76,33,205",NA,NA,"₹71,52,416-₹76,33,205","Data Scientist salaries at Google can range from ₹71,52,416-₹76,33,205",NA,NA,4.5,62%,15%,23%,44%,22%,22%,Pune
"Pune, India",5001 to 10000 Employees,1990,Company - Public (KPITTECH),IT Services,$500 million to $1 billion (USD),KPIT Technologies,KPIT Technologies Data Scientist Salaries in Pune Area,"₹ 15,50,210 - ₹ 16,93,431","₹ 1,76,903",NA,"₹15,50,210-₹16,93,431","Data Scientist salaries at KPIT Technologies can range from ₹15,50,210-₹16,93,431",NA,NA,3.3,71%,15%,14%,48%,17%,12%,Pune
"Mumbai, India",10000+ Employees,1985,Company - Private,Banks & Building Societies,$1 to $2 billion (USD),Kotak Mahindra,Kotak Mahindra Data Scientist Salaries,"₹ 5,89,643 - ₹ 8,07,064",NA,NA,"₹5,89,643-₹8,07,064","Data Scientist salaries at Kotak Mahindra can range from ₹5,89,643-₹8,07,064",NA,NA,3.5,70%,13%,17%,27%,18%,17%,Pune
"Roseland, NJ",10000+ Employees,1949,Company - Public (ADP),Consulting,$10+ billion (USD),ADP,ADP Data Scientist Salaries,"₹ 7,48,240 - ₹ 17,00,000",NA,NA,"₹8,79,486","The typical ADP Data Scientist salary is ₹8,79,486",NA,NA,4,57%,25%,19%,46%,20%,14%,Pune
"Chicago, IL",5001 to 10000 Employees,1993,Company - Private,IT Services,$100 to $500 million (USD),ThoughtWorks,ThoughtWorks Data Scientist Salaries,"₹ 14,45,778",₹ 1,"₹ 14,45,778","₹14,45,778","The typical ThoughtWorks Data Scientist salary is ₹14,45,778","₹2,511K",₹840K,4.4,56%,28%,16%,46%,16%,14%,Pune
"Espoo, Finland",10000+ Employees,1968,Company - Public (TIE),IT Services,$1 to $2 billion (USD),TietoEVRY,TietoEVRY Data Scientist Salaries in Pune Area,"₹ 7,35,883 - ₹ 8,02,757",NA,NA,"₹7,35,883-₹8,02,757","Data Scientist salaries at TietoEVRY can range from ₹7,35,883-₹8,02,757",NA,NA,4.1,75%,15%,9%,33%,28%,14%,Pune
"East Moline, IL",1001 to 5000 Employees,1996,Company - Private,IT Services,$100 to $500 million (USD),Yash Technologies,Yash Technologies Data Scientist Salaries,"₹ 8,35,663","₹ 2,00,000","₹ 8,35,663","₹8,35,663","The typical Yash Technologies Data Scientist salary is ₹8,35,663","₹2,000K",₹376K,3.7,64%,22%,14%,42%,17%,17%,Pune
"Dublin, Ireland",10000+ Employees,1911,Unknown,Electrical & Electronic Manufacturing,$10+ billion (USD),Eaton,Eaton Data Scientist Salaries,"₹ 5,72,322 - ₹ 6,21,768",NA,NA,"₹5,72,322-₹6,21,768","Data Scientist salaries at Eaton can range from ₹5,72,322-₹6,21,768",NA,NA,3.9,66%,16%,18%,44%,30%,8%,Pune
"London, United Kingdom",1 to 50 Employees,null,Company - Private,Social Services,Unknown / Non-Applicable,Other,Other Data Scientist Salaries in Pune Area,"₹ 3,92,143 - ₹ 4,17,892",NA,NA,"₹3,92,143-₹4,17,892","Data Scientist salaries at Other can range from ₹3,92,143-₹4,17,892",NA,NA,4.1,57%,5%,38%,33%,22%,17%,Pune
"Cork, Ireland",10000+ Employees,1885,Company - Public (JCI),Industrial Manufacturing,$10+ billion (USD),Johnson Controls,Johnson Controls Data Scientist Salaries in Pune Area,"₹ 4,39,221 - ₹ 4,76,567",NA,NA,"₹4,39,221-₹4,76,567","Data Scientist salaries at Johnson Controls can range from ₹4,39,221-₹4,76,567",NA,NA,3.5,64%,18%,19%,40%,20%,12%,Pune
"Cork, Ireland",10000+ Employees,1885,Company - Public (JCI),Industrial Manufacturing,$10+ billion (USD),Johnson Controls,Johnson Controls Data Scientist Monthly Pay in Pune Area,"₹ 6,69,823 - ₹ 7,21,146","₹ 74,951",NA,"₹6,69,823-₹7,21,146","Data Scientist salaries at Johnson Controls can range from ₹6,69,823-₹7,21,146",NA,NA,3.5,64%,18%,19%,40%,20%,12%,Pune
"Mumbai, India",1001 to 5000 Employees,2000,Company - Private,IT Services,Unknown / Non-Applicable,Ugam,Ugam Data Scientist Salaries in Pune Area,"₹ 11,69,917 - ₹ 12,62,455",NA,NA,"₹11,69,917-₹12,62,455","Data Scientist salaries at Ugam can range from ₹11,69,917-₹12,62,455",NA,NA,3.6,63%,18%,19%,36%,25%,10%,Pune
"Raleigh, NC",10000+ Employees,1993,Company - Public (RHT),Computer Hardware & Software,$2 to $5 billion (USD),Red Hat,Red Hat Data Scientist Salaries in Pune Area,"₹ 50,24,154 - ₹ 54,55,436",NA,NA,"₹50,24,154-₹54,55,436","Data Scientist salaries at Red Hat can range from ₹50,24,154-₹54,55,436",NA,NA,4.4,62%,23%,14%,44%,25%,17%,Pune
"Pune, India",1001 to 5000 Employees,1988,Company - Public (STRTECH),Enterprise Software & Network Solutions,$500 million to $1 billion (USD),STL - Sterlite Technologies Limited,STL - Sterlite Technologies Limited Data Scientist Salaries in Pune Area,"₹ 9,77,519 - ₹ 10,58,251",NA,NA,"₹9,77,519-₹10,58,251","Data Scientist salaries at STL - Sterlite Technologies Limited can range from ₹9,77,519-₹10,58,251",NA,NA,3.9,70%,11%,19%,46%,19%,10%,Pune
"Pune, India",1001 to 5000 Employees,null,Company - Private,Government Agencies,Unknown / Non-Applicable,C-DAC,C-DAC Data Scientist Salaries in Pune Area,"₹ 3,85,660 - ₹ 4,13,800",NA,NA,"₹3,85,660-₹4,13,800","Data Scientist salaries at C-DAC can range from ₹3,85,660-₹4,13,800",NA,NA,3.7,83%,3%,14%,46%,32%,10%,Pune
"Cupertino, CA",10000+ Employees,1976,Company - Public (AAPL),Computer Hardware & Software,$10+ billion (USD),Apple,Apple Data Scientist Salaries in Pune Area,"₹ 14,03,891 - ₹ 15,42,103",NA,NA,"₹14,03,891-₹15,42,103","Data Scientist salaries at Apple can range from ₹14,03,891-₹15,42,103",NA,NA,4.4,65%,15%,20%,56%,15%,13%,Pune
"Pune, India",501 to 1000 Employees,2009,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,Sokrati,Sokrati Data Scientist Salaries in Pune Area,"₹ 3,04,451 - ₹ 3,30,655",NA,NA,"₹3,04,451-₹3,30,655","Data Scientist salaries at Sokrati can range from ₹3,04,451-₹3,30,655",NA,NA,3.8,49%,34%,16%,51%,20%,16%,Pune
"Buenos Aires, Argentina",10000+ Employees,2003,Company - Public (GLOB),IT Services,$100 to $500 million (USD),Globant,Globant Data Scientist Monthly Pay in Pune Area,"₹ 94,606 - ₹ 1,02,399",NA,NA,"₹94,606-₹1,02,399","Data Scientist salaries at Globant can range from ₹94,606-₹1,02,399",NA,NA,4.2,60%,22%,18%,42%,27%,18%,Pune
"Pune, India",501 to 1000 Employees,1997,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Saama Technologies,Saama Technologies Data Scientist Salaries in Pune Area,"₹ 8,71,515 - ₹ 9,51,077",NA,NA,"₹8,71,515-₹9,51,077","Data Scientist salaries at Saama Technologies can range from ₹8,71,515-₹9,51,077",NA,NA,3.8,53%,35%,12%,31%,18%,15%,Pune
"Pune, India",10000+ Employees,1889,Company - Public (ML),Industrial Manufacturing,$10+ billion (USD),Michelin,Michelin Data Scientist Salaries in Pune Area,"₹ 1,44,577 - ₹ 1,57,502",NA,NA,"₹1,44,577-₹1,57,502","Data Scientist salaries at Michelin can range from ₹1,44,577-₹1,57,502",NA,NA,4,71%,14%,15%,35%,25%,15%,Pune
"Fort Mill, SC",10000+ Employees,1987,Company - Public,IT Services,$2 to $5 billion (USD),CompuCom,CompuCom Data Scientist Salaries in Pune Area,"₹ 25,46,443 - ₹ 27,93,308",NA,NA,"₹25,46,443-₹27,93,308","Data Scientist salaries at CompuCom can range from ₹25,46,443-₹27,93,308",NA,NA,3.5,53%,22%,24%,30%,24%,19%,Pune
"Amsterdam, Netherlands",5001 to 10000 Employees,1991,Company - Public (TOM2),Enterprise Software & Network Solutions,$500 million to $1 billion (USD),TomTom,TomTom Data Scientist Salaries in Pune Area,"₹ 5,77,674 - ₹ 6,19,722",NA,NA,"₹5,77,674-₹6,19,722","Data Scientist salaries at TomTom can range from ₹5,77,674-₹6,19,722",NA,NA,4,52%,28%,21%,60%,16%,8%,Pune
"Pune, India",201 to 500 Employees,2013,Company - Private,IT Services,$25 to $50 million (USD),Datametica,Datametica Data Scientist Salaries,"₹ 2,15,288 - ₹ 2,35,413",NA,NA,"₹2,15,288-₹2,35,413","Data Scientist salaries at Datametica can range from ₹2,15,288-₹2,35,413",NA,NA,3.6,79%,17%,3%,38%,26%,14%,Pune
"Frankfurt am Main, Germany",201 to 500 Employees,2011,Company - Private,Consulting,$1 to $5 million (USD),Innoplexus,Innoplexus Data Scientist Salaries,"₹ 3,43,608 - ₹ 3,71,948",NA,NA,"₹3,43,608-₹3,71,948","Data Scientist salaries at Innoplexus can range from ₹3,43,608-₹3,71,948",NA,NA,3.9,58%,19%,22%,33%,24%,24%,Pune
"New York, NY",1001 to 5000 Employees,1994,Company - Private,IT Services,$100 to $500 million (USD),Cognizant Softvision,Cognizant Softvision Data Scientist Salaries in Pune Area,"₹ 4,65,351 - ₹ 5,04,740",NA,NA,"₹4,65,351-₹5,04,740","Data Scientist salaries at Cognizant Softvision can range from ₹4,65,351-₹5,04,740",NA,NA,3.9,57%,16%,26%,39%,32%,14%,Pune
"Mountain View, CA",201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Aera Technology,Aera Technology Data Scientist Salaries,"₹ 13,56,133 - ₹ 14,78,648",NA,NA,"₹13,56,133-₹14,78,648","Data Scientist salaries at Aera Technology can range from ₹13,56,133-₹14,78,648",NA,NA,3.8,43%,51%,6%,47%,25%,13%,Pune
"Towson, MD",51 to 200 Employees,2010,Company - Private,IT Services,$5 to $10 million (USD),Motifworks,Motifworks Data Scientist Salaries in Pune Area,"₹ 9,17,469 - ₹ 9,87,135","₹ 10,527",NA,"₹9,17,469-₹9,87,135","Data Scientist salaries at Motifworks can range from ₹9,17,469-₹9,87,135",NA,NA,3.9,67%,19%,14%,53%,18%,12%,Pune
"San Francisco, CA",51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Helpshift,Helpshift Data Scientist Monthly Pay in Pune Area,"₹ 64,457 - ₹ 68,803",NA,NA,"₹64,457-₹68,803","Data Scientist salaries at Helpshift can range from ₹64,457-₹68,803",NA,NA,3.7,54%,34%,12%,61%,14%,11%,Pune
"Bay Harbor Islands, FL",51 to 200 Employees,1998,Company - Private,Consulting,Unknown / Non-Applicable,Tops Office Pros Business Services,Tops Office Pros Business Services Data Scientist Salaries,"₹ 5,02,120 - ₹ 6,27,576",NA,NA,"₹5,02,120-₹6,27,576","Data Scientist salaries at Tops Office Pros Business Services can range from ₹5,02,120-₹6,27,576",NA,NA,5,100%,100%,,,,,Pune
"Mumbai, India",1 to 50 Employees,2015,Company - Private,IT Services,Less than $1 million (USD),Cloud Counselage,Cloud Counselage Data Scientist Salaries in Pune Area,"₹ 1,21,666 - ₹ 1,31,766",NA,NA,"₹1,21,666-₹1,31,766","Data Scientist salaries at Cloud Counselage can range from ₹1,21,666-₹1,31,766",NA,NA,4.4,100%,50%,50%,,,,Pune
"Pune, India",51 to 200 Employees,2019,Company - Private,IT Services,Unknown / Non-Applicable,Apptware,Apptware Data Scientist Salaries in Pune Area,"₹ 19,47,193 - ₹ 21,03,284",NA,NA,"₹19,47,193-₹21,03,284","Data Scientist salaries at Apptware can range from ₹19,47,193-₹21,03,284",NA,NA,4.6,100%,100%,,,,,Pune
"Pune, India",1 to 50 Employees,2015,Company - Private,IT Services,Unknown / Non-Applicable,GeoSpoc,GeoSpoc Data Scientist Monthly Pay in Pune Area,"₹ 97,559 - ₹ 1,05,180",NA,NA,"₹97,559-₹1,05,180","Data Scientist salaries at GeoSpoc can range from ₹97,559-₹1,05,180",NA,NA,4.6,100%,100%,,,,,Pune
"Chandigarh, India",501 to 1000 Employees,null,Company - Private,Internet,Unknown / Non-Applicable,Climate Connect,Climate Connect Data Scientist Salaries,"₹ 6,09,460 - ₹ 9,38,896",NA,NA,"₹6,09,460-₹9,38,896","Data Scientist salaries at Climate Connect can range from ₹6,09,460-₹9,38,896",NA,NA,3.8,50%,50%,67%,33%,,,Pune
"Boston, MA",51 to 200 Employees,1956,Non-profit Organisation,Social Services,$50 to $100 million (USD),American Student Assistance,American Student Assistance Data Scientist Monthly Pay in Pune Area,"₹ 24,371 - ₹ 26,202",NA,NA,"₹24,371-₹26,202","Data Scientist salaries at American Student Assistance can range from ₹24,371-₹26,202",NA,NA,3.9,47%,24%,29%,63%,19%,13%,Pune
"Irvine, CA",1 to 50 Employees,null,Company - Private,Logistics & Supply Chain,Less than $1 million (USD),Express Analytics,Express Analytics Data Scientist Salaries,"₹ 8,12,226 - ₹ 8,76,044",NA,NA,"₹8,12,226-₹8,76,044","Data Scientist salaries at Express Analytics can range from ₹8,12,226-₹8,76,044",NA,NA,4.2,NA,NA,NA,NA,NA,NA,Pune
"Corona, CA",1 to 50 Employees,null,Company - Private,Consulting,Unknown / Non-Applicable,Expert Freelancer Inc.,Expert Freelancer Inc. Data Scientist Salaries in Pune Area,"₹ 5,22,273 - ₹ 5,67,327",NA,NA,,Data Scientist salaries at Expert Freelancer Inc,NA,NA,4.2,100%,100%,,,,,Pune
"Pune, India",1 to 50 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Automaton AI,Automaton AI Data Scientist Salaries in Pune Area,"₹ 6,01,505 - ₹ 6,51,871",NA,NA,"₹6,01,505-₹6,51,871","Data Scientist salaries at Automaton AI can range from ₹6,01,505-₹6,51,871",NA,NA,4.4,100%,100%,,,,,Pune
"Pune, India",501 to 1000 Employees,null,Unknown,Electrical & Electronic Manufacturing,$10 to $25 million (USD),Shogini Technoarts,Shogini Technoarts Data Scientist Salaries in Pune Area,"₹ 3,33,123 - ₹ 3,61,288",NA,NA,"₹3,33,123-₹3,61,288","Data Scientist salaries at Shogini Technoarts can range from ₹3,33,123-₹3,61,288",NA,NA,5,NA,NA,NA,NA,NA,NA,Pune
"Mountain View, CA",201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Aera Technology,Aera Technology Senior Data Scientist Salaries in Pune Area,"₹ 5,76,707 - ₹ 15,15,731",NA,NA,"₹5,76,707-₹15,15,731","Senior Data Scientist salaries at Aera Technology can range from ₹5,76,707-₹15,15,731",NA,NA,3.8,43%,51%,6%,47%,25%,13%,Pune
